id,LoanNr_ChkDgt,Name,City,State,Bank,BankState,ApprovalDate,ApprovalFY,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,Accept,IsFranchise
9f1c68ba11d,4659663005,"STATION, INC.",UNIONTOWN,OH,"FIRSTMERIT BANK, N.A.",OH,1991-12-18,1992,60,1.0,0,0,1,0,N,N,1992-01-31,840000.0,$0.00 ,1,No
b57a638efd9,1939535005,GORMAN-LAVELLE CORPORATION,CLEVELAND,OH,CITIZENS BANK NATL ASSOC,RI,2006-07-26,2006,50,1.0,0,50,0,1,Y,N,2006-08-31,75000.0,$0.00 ,1,No
18719ff7bbc,2940544003,WEILANDS FINE MEATS INC,COLUMBUS,OH,"WACHOVIA SBA LENDING, INC.",CA,1999-05-13,1999,18,1.0,8,18,1,0,N,N,1999-06-30,360000.0,$0.00 ,1,No
51eabcba2a4,1427324001,"SLUGSTER BROTHERS, INC.",SCIO,OH,THE CITIZENS SAVINGS BANK,OH,1997-07-21,1997,2,1.0,0,0,1,0,N,Y,1997-09-30,45000.0,$0.00 ,0,No
f00db720a5b,4954724009,"A COFFEE AFFAIR, LLC",WEST CHESTER,OH,ACCESS BUS. DEVEL & FINANCE IN,OH,2001-09-28,2001,2,2.0,2,0,1,1,N,N,2002-09-11,60000.0,$0.00 ,1,No
308a090f6e8,4145603001,"FALLS FOOD, INC.",NEWTON FALLS,OH,KEYBANK NATIONAL ASSOCIATION,OH,1990-06-21,1990,16,1.0,0,0,1,0,N,N,1990-07-31,380000.0,$0.00 ,1,No
4930dee0177,4480213010,"T. J. ELLIS ENTERPRISES, INC.",LIMA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,1991-06-06,1991,4,1.0,0,0,1,0,N,N,1993-07-31,750000.0,$0.00 ,1,No
aa3824bf129,3397305010,Galaxy Pizza Inc,Cambridge,OH,THE HUNTINGTON NATIONAL BANK,OH,2009-04-28,2009,17,2.0,0,17,0,2,N,N,2009-04-30,15000.0,$0.00 ,1,No
e08d49234b3,4368554003,"STERLING INVESTMENTS, INC.",HARRISON,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,2001-03-13,2001,8,1.0,0,0,1,1,N,Y,2001-07-31,107850.0,$0.00 ,1,No
0a9a0265ed5,1103085001,"J C GOURMET FOODS, LTD D/B/A C",COLUMBUS,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,2004-11-12,2005,25,1.0,0,0,1,1,N,N,2004-12-31,184500.0,$0.00 ,1,No
1a96bbd0f47,4646175004,Clearview Doors and Windows In,Diamond,OH,THE HUNTINGTON NATIONAL BANK,OH,2011-04-19,2011,1,1.0,0,1,0,1,N,N,2011-04-19,6200.0,$0.00 ,1,No
2aabec625e4,3585735007,D&M Murray Inc.,Westerville,OH,THE HUNTINGTON NATIONAL BANK,OH,2009-08-20,2009,14,2.0,0,14,0,1,N,N,2009-09-30,1783000.0,$0.00 ,1,No
e52d120e639,1511445001,"David's Floral, Inc.",ALLIANCE,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,2005-10-24,2006,0,2.0,6,0,0,1,Y,N,2005-11-30,143317.0,$0.00 ,1,No
f998fb20f40,6483594009,EMBROIDME,BROADVIEW HEIGHTS,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,2003-07-10,2003,2,2.0,2,2,27765,1,N,N,2003-08-31,35000.0,$0.00 ,1,Sí
7aa8ae1ae97,1179605009,"M. MARK LEPORE, D.D.S., INC.",CLEVELAND,OH,CITIZENS BANK NATL ASSOC,RI,2005-02-02,2005,4,1.0,0,4,1,1,Y,N,2006-02-28,10000.0,$0.00 ,1,No
8ca9d4f3b56,9636294008,"SPIRIT MIND AND BODY, LLC",LISBON,OH,THE HUNTINGTON NATIONAL BANK,OH,2006-01-10,2006,1,2.0,0,0,1,2,N,N,2006-04-30,105000.0,$0.00 ,1,No
830c939a3a6,2970196009,BODYWORX FITNESS,CINCINNATI,OH,THE MERCHANTS BANK & TRUST CO.,IN,2007-09-05,2007,2,2.0,2,0,1,1,Y,N,2007-11-30,100599.0,$0.00 ,1,No
b6d6cc0def0,3243555001,M & M SPECIALTIES LLC,ELYRIA,OH,U.S. BANK NATIONAL ASSOCIATION,OH,2008-10-17,2009,4,2.0,0,4,0,1,Y,N,2008-11-30,10000.0,$0.00 ,1,No
47a3a998fe0,1966265002,"CAPOZZI CASEWORKS, LLC",CHAGRIN FALLS,OH,CITIZENS BANK NATL ASSOC,RI,2006-08-11,2006,1,1.0,0,1,0,1,Y,N,2006-10-31,119062.0,$0.00 ,1,No
954b0fc3ee9,8157284003,DOWNS MACHINERY SALES INC,TOLEDO,OH,CITIZENS BANK NATL ASSOC,RI,2004-11-22,2005,1,1.0,0,1,1,1,Y,N,2005-01-31,19845.0,$0.00 ,1,No
36034e294d1,8779284008,EXPRESS TIRE & AUTO,TROY,OH,FIFTH THIRD BANK,OH,2005-04-11,2005,45,1.0,0,45,1,2,N,N,2005-04-30,1100000.0,$0.00 ,1,No
13cf45ae29f,1423585008,"3D Manufacturing, Inc.",COLUMBUS,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,2005-08-22,2005,4,2.0,6,6,0,1,N,N,2005-09-30,80000.0,$0.00 ,0,No
c8167f9b448,8072053009,"EXPERIENCES UNIQUE CHILD CARE,",BEAVERCREEK,OH,THE HUNTINGTON NATIONAL BANK,OH,1995-02-10,1995,12,1.0,0,0,1,0,,N,1995-04-30,227000.0,$0.00 ,1,No
239df5c3036,1950334009,F & T LAND COMPANY,HUBBARD,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,1998-04-01,1998,3,2.0,0,0,1,0,N,Y,1999-01-31,76000.0,$0.00 ,1,No
19fc00411b9,2841315005,Shanel's Design Group LLC,PATASKALA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,2007-12-03,2008,7,1.0,0,7,0,2,Y,N,2007-12-31,82731.0,$0.00 ,0,No
a1c381be686,8866053000,"F.M. SYSTEMS, INC.",MEDINA,OH,"FIRSTMERIT BANK, N.A.",OH,1995-12-07,1996,10,1.0,0,0,1,0,N,Y,1996-01-31,75000.0,$0.00 ,1,No
10204815bbf,1512045001,"VOYALE MINORITY ENTERPRISE, L.",CLEVELAND,OH,THE HUNTINGTON NATIONAL BANK,OH,2005-10-24,2006,18,2.0,10,18,0,1,Y,N,2005-11-30,420000.0,$0.00 ,1,No
ec8c025e578,9106783009,HIGH TECH METAL PRODUCTS CO.,LIMA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,1996-03-19,1996,4,1.0,0,0,1,0,N,Y,1996-04-30,16000.0,$0.00 ,1,No
d2c755c5c39,3489674006,"TIM'S CYCLE, INC.",BEREA,OH,CITIZENS BANK,OH,1999-12-23,2000,2,1.0,0,0,1,1,N,N,2000-01-31,189000.0,$0.00 ,1,No
b81048fffbe,4073293004,VIDEO HUT,TALLMADGE,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,1990-05-02,1990,6,1.0,0,0,1,0,N,N,1990-06-25,90346.0,$0.00 ,1,No
6176207a709,4291573003,U.S. DIAMOND&GOLD JEWELERS INC,CENTERVILLE,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,1990-10-30,1991,26,1.0,0,0,1,0,N,N,1991-01-31,350000.0,$0.00 ,1,No
6866cf05e4d,6559874007,LEISGANG GARDEN CENTER,CINCINNATI,OH,CAPITAL ONE NATL ASSOC,VA,2003-08-05,2003,22,1.0,3,22,1,1,N,N,2003-10-31,50000.0,$0.00 ,0,No
ac3fdba85be,8562473009,"LAMPLIGHT INDUSTRIES, INC.",LORAIN,OH,THE LORAIN NATIONAL BANK,OH,1995-08-02,1995,8,1.0,0,0,1,0,N,Y,1995-10-31,100000.0,$0.00 ,1,No
3cfa04789c8,8441803005,TROY TOWNE CLEANERS,TROY,OH,FIFTH THIRD BANK,OH,1995-06-20,1995,6,1.0,0,0,1,0,N,Y,1995-10-31,22500.0,$0.00 ,1,No
23fab86a2e8,1808455005,"Liquid Resources of Ohio, LLC",Medina,OH,KEYBANK NATIONAL ASSOCIATION,OH,2006-05-09,2006,15,1.0,15,15,0,1,Y,N,2006-07-31,295000.0,$0.00 ,1,No
0994041a0dd,1211725000,KEVIN BENEDICT DBA KEVIN BENED,CLEVELAND,OH,CITIZENS BANK NATL ASSOC,RI,2005-03-01,2005,1,2.0,0,1,1,1,N,N,2005-03-31,150000.0,$0.00 ,1,No
7293132e54d,4831634006,PAUL L HUBBARD DBA CHURCH'S FR,TOLEDO,OH,LUCAS CNTY IMPROVEMENT CORP,OH,2001-08-17,2001,1,2.0,25,0,17150,1,N,N,2002-01-16,316000.0,$0.00 ,1,Sí
93d65e2c075,4352585003,"BCF Enterprises, LLC.",Kirtland,OH,THE HUNTINGTON NATIONAL BANK,OH,2010-11-05,2011,0,1.0,0,0,0,1,Y,N,2010-12-01,34517.0,$0.00 ,1,No
4628cea8977,3040295006,Bender Underground Constructio,Kirtland,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,2008-04-09,2008,4,2.0,2,4,0,2,Y,N,2008-04-30,120916.0,$0.00 ,1,No
9b1af5ed95f,2798554004,FUNKS ANTIQUE AUTO PARTS,CARLISLE,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,1999-02-22,1999,12,1.0,7,12,1,0,N,N,1999-03-31,346200.0,$0.00 ,1,No
8d9ceecfbfa,9885403009,"AIR-CRAFT HEATING & COOLING, I",PATASKALA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,1997-01-09,1997,2,1.0,0,0,1,0,N,N,1997-12-31,50000.0,$0.00 ,1,No
3751e62f6bc,1825523001,PRUITT & GRACE DEVELOPMENT CRP,LORAIN,OH,THE LORAIN NATIONAL BANK,OH,1984-02-22,1984,6,1.0,0,0,0,0,N,N,1984-03-06,90000.0,$0.00 ,0,No
81121a753a4,2388335001,American Imprinting Production,COLUMBUS,OH,CALIFORNIA BANK & TRUST,CA,2007-04-11,2007,25,1.0,5,25,0,1,N,N,2007-08-31,100000.0,$0.00 ,0,No
9374d719aa7,1681644009,KICKPLATE CO.,COLUMBUS,OH,"WESBANCO BANK, INC.",OH,1997-11-14,1998,10,1.0,0,0,1,0,N,N,1997-11-30,360000.0,$0.00 ,1,No
b78ca44400f,1967995000,"Delux Trucking, Inc.",Dayton,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,2006-08-14,2006,3,2.0,1,3,0,1,Y,N,2007-04-30,16076.0,$0.00 ,1,No
68836529bff,5232425001,"Cash Advance Tax Service, LLC",COLUMBUS,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,2012-05-24,2012,3,2.0,6,3,0,1,Y,N,2012-07-01,137500.0,$0.00 ,1,No
e74cfab8b31,1378265006,"Harbaugh Mechanical, Inc.",SEVILLE,OH,"FIRSTMERIT BANK, N.A.",OH,2005-07-19,2005,9,1.0,0,9,0,2,Y,N,2005-08-31,945500.0,$0.00 ,1,No
bce496e3407,1778505005,SOUTHWEST DIESEL SERVICE INC.,COLUMBUS,OH,CAPITAL ONE NATL ASSOC,VA,2006-04-21,2006,5,1.0,1,5,0,1,N,N,2006-05-31,50000.0,$0.00 ,0,No
7eadb080ce8,3532073003,BEAUMONT BROS STONEWARE INC,CROOKSVILLE,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,1989-09-19,1989,10,2.0,0,0,1,0,N,N,1990-01-31,200000.0,$0.00 ,1,No
687bfae3709,1593614000,ALL NEW OIL CHANGERS,PARMA,OH,"FIRSTMERIT BANK, N.A.",OH,1997-09-30,1997,1,2.0,0,0,1,0,N,N,1999-02-28,148000.0,$0.00 ,1,No
ffcd0066d5d,1659434009,CAYCE CHEMICAL INC.,CINCINNATI,OH,"PNC BANK, NATIONAL ASSOCIATION",KY,1997-11-03,1998,4,1.0,0,0,1,0,Y,N,1997-12-31,56385.0,$0.00 ,1,No
c033eb8b9d0,1234345007,"BROSKI, INC. NO. 3-106",MENTOR,OH,CITIZENS BANK NATL ASSOC,RI,2005-03-17,2005,11,1.0,0,11,1,1,Y,N,2005-04-30,119499.0,$0.00 ,1,No
f20b4ebc81f,4039104007,JOHN ROBERT'S HAIR STD&SPA INC,MAYFIELD HEIGHTS,OH,U.S. BANK NATIONAL ASSOCIATION,OH,2000-11-01,2001,92,1.0,0,0,1,1,N,N,2000-12-31,115000.0,$0.00 ,1,No
782abd72e31,3474114010,AFC INTERIORS AND CISCO,AKRON,OH,GE CAP. SMALL BUS. FINAN CORP,TX,1999-12-15,2000,80,1.0,80,80,1,1,N,N,1999-12-31,685000.0,$0.00 ,1,No
de9d93577cc,1871394007,"WORLD CLASS PLASTICS, INC.",RUSSELLS POINT,OH,OHIO STATEWIDE DEVEL CORP,OH,1998-02-27,1998,47,1.0,15,32,1,0,N,N,1998-09-16,412000.0,$0.00 ,1,No
cc57397cb19,1249385000,Key Laser Technologies LLC,HINCKLEY,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,2005-03-29,2005,2,1.0,1,2,1,2,N,N,2005-04-30,113400.0,$0.00 ,1,No
d3907f0a246,1544855002,"Michael Anthony Printing, LLC",Columbus,OH,"BUSINESS LOAN CENTER, LLC",FL,2005-11-17,2006,8,1.0,0,8,0,1,N,N,2005-12-31,25000.0,$0.00 ,0,No
0fff7ea075f,8728023004,"BUCKEYE PAPER COMPANY, INC.",CANTON,OH,"FIRSTMERIT BANK, N.A.",OH,1995-10-21,1996,23,1.0,0,0,1,0,N,Y,1996-01-31,100000.0,$0.00 ,1,No
dd6cf796ce6,1338725008,"R and K Convenience Store, LLC",CRESTLINE,OH,"FIRSTMERIT BANK, N.A.",OH,2005-06-15,2005,0,2.0,0,0,1,2,Y,N,2005-07-31,16671.0,$0.00 ,0,No
c10e1a04255,3501894006,SERVISTEEL CORPORATION,LORAIN,OH,UPS CAPITAL BUSINESS CREDIT,CT,1999-12-29,2000,42,1.0,0,0,1,1,N,N,1999-12-31,450000.0,$0.00 ,1,No
dca754a7424,2289974003,O & O MANUFACTURING INC,FRANKLIN,OH,GE CAP. SMALL BUS. FINAN CORP,TX,1998-08-28,1998,70,1.0,3,0,1,0,N,N,1998-10-31,1515000.0,$0.00 ,1,No
5a34ccd5d65,8328083001,"VORTEX ENTERPRISES, INC.",DEFIANCE,OH,KEYBANK NATIONAL ASSOCIATION,OH,1995-05-10,1995,15,1.0,0,0,1,0,Y,N,1995-07-31,650000.0,$0.00 ,0,No
79e4e95c305,1170375005,DAVID S CLOUGH DBA NORTH COAST,NORTH RIDGEVILLE,OH,CITIZENS BANK NATL ASSOC,RI,2005-01-26,2005,2,1.0,0,2,1,1,Y,N,2005-02-28,22996.0,$0.00 ,0,No
d81d20d67c4,3833104010,"YOUNG EUN ASSOCIATES,INC.",COLUMBUS,OH,U.S. BANK NATIONAL ASSOCIATION,OH,2000-07-11,2000,10,1.0,8,10,1,1,N,N,2000-09-30,170000.0,$0.00 ,1,No
1e2e16a0fdc,6917524008,TERRY E. WOOLENSNIDER,FOREST,OH,1ST CIT. NATL BK OF UPPER SAN,OH,2003-11-14,2004,2,1.0,0,0,1,2,N,Y,2004-01-31,44500.0,$0.00 ,0,No
5dadf988508,9348643005,MADISON SHARPENING & GRINDING,MADISON,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,1996-06-18,1996,2,1.0,0,0,1,0,N,Y,1996-10-31,65000.0,$0.00 ,1,No
5cea959e8be,2050575006,"D & C ANGUS COMPANY, INC.",MIDDLEFIELD,OH,U.S. BANK NATIONAL ASSOCIATION,OH,2006-09-29,2006,6,1.0,0,6,0,1,Y,N,2007-01-31,110767.0,$0.00 ,1,No
e32b14d88ac,5420704003,HUNTER'S DEPOT LLC,DRESDEN,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,2002-05-24,2002,4,1.0,0,4,1,1,N,N,2002-06-30,20000.0,$0.00 ,1,No
f003699b90d,1500305010,"Calypso Distribution Services,",Columbus,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,2005-10-17,2006,80,2.0,25,80,0,1,N,N,2005-11-30,150000.0,$0.00 ,1,No
cdb8e7144bb,5565273010,LASALLE FURNITURE,PARMA HEIGHTS,OH,NATL BK & TR CO,OH,1993-03-04,1993,5,2.0,0,0,1,0,N,N,1993-04-30,180000.0,$0.00 ,1,No
35a3f773bc4,9989703010,FEE CORP CORP.,CANAL WINCHESTER,OH,THE HUNTINGTON NATIONAL BANK,OH,1997-02-26,1997,125,1.0,0,0,1,0,N,N,1997-04-30,1000000.0,$0.00 ,1,No
c4b47fd3ddc,7255314009,"DATA/ANALYSIS TECHNOLOGIES,INC",PLAIN CITY,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,2004-03-11,2004,11,1.0,0,11,1,2,N,N,2004-03-31,100900.0,$0.00 ,1,No
350c1f71143,1649865001,"Mark Welage Golf, LLC",Cincinnati,OH,THE HUNTINGTON NATIONAL BANK,OH,2006-02-07,2006,1,2.0,0,0,0,1,Y,N,2009-06-30,25000.0,$0.00 ,1,No
4a00bf3ec84,1868454000,"WHOLE WORLD, INC.",COLUMBUS,OH,THE HUNTINGTON NATIONAL BANK,OH,1998-02-26,1998,22,1.0,0,0,1,0,N,Y,1998-07-31,79000.0,$0.00 ,1,No
50847dfbd60,8979413008,"QUICK TECH BUSINESS FORMS, INC",SPRINGBORO,OH,CERTIFIED DEVEL CORP - WARREN,OH,1996-02-02,1996,29,1.0,5,24,1,0,N,N,1996-08-14,338000.0,$0.00 ,1,No
d31ea41ec2d,1554915000,"JCWB, INC.",CENTERVILLE,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,2005-11-28,2006,3,1.0,2,3,0,1,N,N,2006-02-28,30000.0,$0.00 ,1,No
047131d9bc9,2180675010,"Pathrite, LLC",Loveland,OH,THE HUNTINGTON NATIONAL BANK,OH,2006-12-18,2007,0,1.0,0,0,0,2,Y,N,2006-12-31,44277.0,$0.00 ,1,No
e89caa0d8aa,9387163006,EXQUISITE HAND AND NAILS,GARFIELD HEIGHTS,OH,INDEPENDENCE BANK,OH,1996-07-05,1996,1,1.0,0,0,1,0,N,N,1996-09-30,14620.0,$0.00 ,1,No
543d874c2de,3634095002,WRAP N SHIP INC,TOLEDO,OH,THE HUNTINGTON NATIONAL BANK,OH,2009-09-16,2009,8,1.0,3,8,0,1,N,N,2009-10-01,35000.0,$0.00 ,1,No
e2e4901ec41,1825623007,COLUMBUS SAILING CENTER/MARSHA,WESTERVILLE,OH,COMMUNITY CAP. DEVEL CORP,OH,1984-02-22,1984,8,1.0,0,0,0,0,N,N,1984-12-05,69000.0,$0.00 ,1,No
37a3de8f154,9569863005,STEAK ESCAPE,ASHTABULA,OH,"READYCAP LENDING, LLC",CA,1996-09-24,1996,30,2.0,0,0,77875,0,N,N,1997-02-28,127000.0,$0.00 ,1,Sí
856bd2f768a,1524835010,Tor Petroleum,HAMILTON,OH,U.S. BANK NATIONAL ASSOCIATION,OH,2005-11-02,2006,3,1.0,0,3,0,1,Y,N,2005-11-30,116706.0,$0.00 ,1,No
6ba8aaac859,7557484009,"NOVEX PRODUCTS, INC.",ELYRIA,OH,THE HUNTINGTON NATIONAL BANK,OH,2004-06-25,2004,8,1.0,0,8,1,1,Y,N,2004-09-30,224750.0,$0.00 ,1,No
75cf9f471f8,2450315008,JAIME MILLER DBA JC CUSTOM TRI,LOUISVILLE,OH,CITIZENS BANK NATL ASSOC,RI,2007-05-11,2007,1,1.0,0,1,0,2,Y,N,2007-05-31,10600.0,$0.00 ,0,No
279a21883aa,2047345006,"ALLEN GRAPHICS, INC.",SOLON,OH,"FIRSTMERIT BANK, N.A.",OH,2006-09-29,2006,0,1.0,0,0,0,2,Y,N,2007-01-31,45000.0,$0.00 ,1,No
7e4b5284035,1421345002,M And M General Contractors In,MENTOR,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,2005-08-19,2005,1,1.0,0,1,0,1,Y,N,2005-09-30,94944.0,$0.00 ,0,No
3db91070b64,9126843000,WILLIAM GRAYSTONE WINERY,COLUMBUS,OH,KEYBANK NATIONAL ASSOCIATION,OH,1996-03-26,1996,16,1.0,0,0,1,0,N,Y,1996-04-30,90000.0,$0.00 ,1,No
8567925a9d8,9977063000,"KOIVISTO CNSTRCTRS&ERCTRS, INC",ANDOVER,OH,CORTLAND SAVINGS & BK. CO.,OH,1997-02-20,1997,3,1.0,0,0,1,0,N,Y,1997-03-31,41000.0,$0.00 ,1,No
9e7147398ca,3988085007,"Clear Creek Marketing, Ltd.",Lewis Center,OH,THE HUNTINGTON NATIONAL BANK,OH,2010-03-24,2010,2,1.0,0,0,0,1,N,N,2010-04-01,130000.0,$0.00 ,1,No
752ec7db83f,7590683005,"OLYMPIC KITCHENS, INC.",COLUMBUS,OH,COMMUNITY CAP. DEVEL CORP,OH,1994-09-19,1994,26,1.0,4,22,1,0,N,N,1996-04-10,131000.0,$0.00 ,1,No
fb4ddcacdc6,2161425010,Devinder Singh dba Doom Constr,WEST CHESTER,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,2006-12-06,2007,3,2.0,0,3,0,2,Y,N,2007-02-28,25000.0,$0.00 ,0,No
59100df8daa,9272933001,DAYSPRING'S MINI MART,LIMA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,1996-05-14,1996,3,2.0,0,0,1,0,N,Y,1997-01-14,13900.0,$0.00 ,1,No
c9ede0cffd8,2408975003,"The Turner Group, LLC",Cincinnati,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,2007-04-23,2007,0,2.0,3,5,0,1,Y,N,2007-05-31,48111.0,$0.00 ,0,No
53a3a29e111,5794054003,R & L QUALITY PROCESSING L L C,MARIETTA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,2002-10-21,2003,6,1.0,0,6,1,2,N,N,2003-03-31,90800.0,$0.00 ,1,No
c21215e1d65,2773196010,CRANDALL FORD INC,PERRY,OH,CASCADE CAPITAL CORPORATION,OH,2007-04-26,2007,28,1.0,3,28,1,2,N,N,2008-05-14,1096000.0,$0.00 ,1,No
fa73a06a687,3588545004,Restoration Professionals Inc.,Boardman,OH,THE HUNTINGTON NATIONAL BANK,OH,2009-08-21,2009,0,1.0,0,0,0,1,N,N,2009-09-30,15200.0,$0.00 ,1,No
469eb3739a6,6961884008,SPARKS&SHORELINE TRNSPRTN INC,CLEVELAND,OH,UNITED MIDWEST SAVINGS BANK,OH,2003-11-25,2004,20,1.0,0,0,1,1,N,N,2004-03-31,305000.0,$0.00 ,1,No
c341142020a,9091793008,BURKHOLDER BARN PAINTING & PRE,PANDORA,OH,CIT. NATL BK OF BLUFFTON,OH,1996-03-14,1996,1,2.0,0,0,1,0,N,Y,1996-04-30,26000.0,$0.00 ,1,No
27a1d5780ec,2451295006,"AA SCAN, INC.",AKRON,OH,CITIZENS BANK NATL ASSOC,RI,2007-05-11,2007,12,1.0,0,12,0,1,Y,N,2007-05-31,54814.0,$0.00 ,1,No
30034f6a14b,3153525010,Kraftsport Unlimited LLC,Cincinnati,OH,THE HUNTINGTON NATIONAL BANK,OH,2008-07-11,2008,0,2.0,0,0,0,1,Y,N,2008-07-31,38983.0,$0.00 ,1,No
81373ace4ea,5957713010,"HALL MACHINE COMPANY, INC.",CARROLLTON,OH,THE HUNTINGTON NATIONAL BANK,OH,1993-09-22,1993,25,1.0,0,0,1,0,N,N,1993-10-31,695000.0,$0.00 ,1,No
30c05c0e2d9,6437514006,THE FETCH COMPANY LLC,POWELL,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,2003-06-24,2003,3,1.0,1,3,1,1,Y,N,2003-07-31,50000.0,$0.00 ,0,No
09cc38341bf,8270423003,"FIVE STAR MARKETING, INC.",MENTOR,OH,CITIZENS BANK,OH,1995-04-18,1995,1,1.0,0,0,1,0,N,Y,1995-07-31,75000.0,$0.00 ,1,No
870e03f804d,3578325004,STALLINGS BICYCLES LLC,WEST CHESTER,OH,U.S. BANK NATIONAL ASSOCIATION,OH,2009-08-17,2009,13,2.0,0,13,0,1,Y,N,2010-05-01,25000.0,$0.00 ,1,No
c84a3709ab4,3786114009,"BLESSED BLOSSOMS, INC.",TOLEDO,OH,KEYBANK NATIONAL ASSOCIATION,OH,2000-06-12,2000,3,1.0,1,4,1,1,N,N,2000-08-31,37000.0,$0.00 ,1,No
907a0cd8bec,7829353003,VANTAGE ONE COMMUNICATIONS GRO,CLEVELAND,OH,KEYBANK NATIONAL ASSOCIATION,OH,1994-11-22,1995,1,1.0,0,0,1,0,N,Y,1995-01-31,21600.0,$0.00 ,1,No
b0cda74cb31,1959545005,"Level 5 Marketing, Inc.",COLUMBUS,OH,CALIFORNIA BANK & TRUST,CA,2006-08-08,2006,9,1.0,1,9,0,1,Y,N,2006-08-31,213584.0,$0.00 ,0,No
9f93332df09,3468153008,"MEISTER, AYERS & MEISTER, INC.",TOLEDO,OH,THE HUNTINGTON NATIONAL BANK,OH,1989-06-28,1989,6,1.0,0,0,0,0,N,N,1989-07-31,225000.0,$0.00 ,1,No
