City,BankState,ApprovalFY,NoEmp,NewExist,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,Accept,Franchise,CreateJobBinary,RetainedJobBinary,DisbursementGross_rango,BalanceGross_rango
WEST CHESTER,DE,2007,3,1,2,1,0,25000.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
LIMA,IL,1996,3,1,0,0,1,13900.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CINCINNATI,DE,2007,0,1,1,1,0,48111.0,0.0,0,0,1,1,Bajo,Sin Saldo
MARIETTA,IL,2003,6,0,2,0,0,90800.0,0.0,1,0,0,1,Medio,Sin Saldo
PERRY,OH,2007,28,0,2,0,0,1096000.0,0.0,1,0,1,1,Alto,Sin Saldo
BOARDMAN,OH,2009,0,0,1,0,0,15200.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CLEVELAND,OH,2004,20,0,1,0,0,305000.0,0.0,1,0,0,0,Alto,Sin Saldo
PANDORA,OH,1996,1,1,0,0,1,26000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
AKRON,RI,2007,12,0,1,1,0,54814.0,0.0,1,0,0,1,Bajo,Sin Saldo
CINCINNATI,OH,2008,0,1,1,1,0,38983.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CARROLLTON,OH,1993,25,0,0,0,0,695000.0,0.0,1,0,0,0,Alto,Sin Saldo
POWELL,DE,2003,3,0,1,1,0,50000.0,0.0,0,0,1,1,Bajo,Sin Saldo
MENTOR,OH,1995,1,0,0,0,1,75000.0,0.0,1,0,0,0,Bajo,Sin Saldo
WEST CHESTER,OH,2009,13,1,1,1,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
TOLEDO,OH,2000,3,0,1,0,0,37000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
CLEVELAND,OH,1995,1,0,0,0,1,21600.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
COLUMBUS,CA,2006,9,0,1,1,0,213584.0,0.0,0,0,1,1,Alto,Sin Saldo
TOLEDO,OH,1989,6,0,0,0,0,225000.0,0.0,1,0,0,0,Alto,Sin Saldo
COLUMBUS,OH,2000,13,0,1,0,0,142000.0,0.0,1,0,0,1,Medio,Sin Saldo
MARIETTA,OH,2010,1,0,2,0,0,35000.0,0.0,1,1,0,1,Muy bajo,Sin Saldo
HUBER HEIGHTS,OH,2004,2,1,1,1,0,40754.0,0.0,1,0,1,1,Bajo,Sin Saldo
LOUDONVILLE,OH,1999,30,0,2,0,0,255000.0,0.0,1,0,1,1,Alto,Sin Saldo
NORTH CANTON,CA,1998,20,0,0,0,0,1700000.0,0.0,1,0,0,0,Alto,Sin Saldo
CLEVELAND,RI,2005,1,0,1,1,0,42000.0,0.0,1,0,1,1,Bajo,Sin Saldo
TOLEDO,OH,2004,3,0,1,0,0,300000.0,0.0,1,0,0,1,Alto,Sin Saldo
TOLEDO,RI,2006,12,0,1,1,0,100000.0,0.0,0,0,1,1,Medio,Sin Saldo
KENT,IL,1998,14,0,0,0,0,319400.0,0.0,1,0,0,0,Alto,Sin Saldo
CINCINNATI,OH,2002,30,0,1,0,0,366000.0,0.0,1,1,0,1,Alto,Sin Saldo
SIDNEY,OH,2000,6,0,2,0,1,150000.0,0.0,1,0,0,0,Medio,Sin Saldo
HEBRON,OH,2009,12,0,2,0,0,35000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
MENTOR,RI,2006,2,0,1,0,0,20000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
UTICA,OH,1995,112,0,0,0,0,412000.0,0.0,1,0,1,1,Alto,Sin Saldo
UNIVERSITY HEIGHTS,OH,1995,1,0,0,0,1,20000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CLEVELAND,IN,2000,5,0,2,0,1,80000.0,0.0,1,0,0,0,Bajo,Sin Saldo
GROVE CITY,VA,2005,5,0,1,0,0,50000.0,0.0,1,0,1,1,Bajo,Sin Saldo
AURORA,SD,1995,1,1,0,0,1,100000.0,0.0,1,1,0,0,Medio,Sin Saldo
POWELL,OH,2008,35,1,2,1,0,50000.0,0.0,1,0,1,0,Bajo,Sin Saldo
COLUMBUS,OH,1996,7,0,0,0,0,126000.0,0.0,1,0,1,1,Medio,Sin Saldo
CINCINNATI,OH,1986,70,0,0,0,0,374000.0,0.0,1,0,0,0,Alto,Sin Saldo
CANTON,OH,2002,8,0,1,0,0,172000.0,0.0,1,0,0,1,Medio,Sin Saldo
COLUMBUS,OH,1997,7,1,0,0,0,76474.0,0.0,1,0,0,0,Bajo,Sin Saldo
MILLBURY,OH,1999,5,0,0,1,0,120157.0,0.0,1,0,1,1,Medio,Sin Saldo
YOUNGSTOWN,IL,2008,26,0,1,0,0,1148000.0,0.0,1,0,0,1,Alto,Sin Saldo
TOLEDO,OH,1987,3,1,0,0,0,25000.0,0.0,0,0,0,0,Muy bajo,Sin Saldo
RITTMAN,OH,2006,4,1,2,1,0,30119.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
JAMESTOWN,OH,1994,7,0,0,0,0,124000.0,0.0,1,0,0,0,Medio,Sin Saldo
CANAL WINCHESTER,OH,2006,3,0,1,1,0,57682.0,0.0,1,0,1,0,Bajo,Sin Saldo
COLUMBUS,SC,2005,1,0,1,0,0,25000.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
COLUMBUS,IL,2007,1,1,1,1,0,86056.0,0.0,1,0,0,1,Bajo,Sin Saldo
BRUNSWICK,OH,2003,15,0,1,0,0,134000.0,0.0,1,0,1,0,Medio,Sin Saldo
HAMILTON,OH,2005,2,1,1,0,0,355000.0,0.0,0,0,0,1,Alto,Sin Saldo
CANTON,OH,2001,1,1,1,0,0,13000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
YELLOW SPRINGS,OH,1997,38,0,0,0,1,80000.0,0.0,1,1,0,0,Bajo,Sin Saldo
CLEVELAND,IL,2008,0,1,1,0,0,325500.0,0.0,1,0,1,0,Alto,Sin Saldo
MADISON,OH,2008,0,0,2,0,0,10000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
TIPP CITY,OH,2008,2,0,2,1,0,31751.0,0.0,0,0,0,0,Muy bajo,Sin Saldo
GAHANNA,OH,2003,8,0,1,0,0,220000.0,0.0,1,0,0,0,Alto,Sin Saldo
MENTOR,RI,2005,2,0,1,1,0,5000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
WARREN,OH,2004,3,1,1,0,1,63750.0,0.0,1,1,0,0,Bajo,Sin Saldo
COLUMBUS,OH,1993,35,0,0,0,0,360000.0,0.0,1,0,0,0,Alto,Sin Saldo
COLUMBUS,OH,1991,7,1,0,0,0,244800.0,0.0,1,1,0,0,Alto,Sin Saldo
ROCKY RIVER,RI,2008,1,0,1,1,0,27799.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
COLUMBUS,OH,2008,9,0,1,0,0,157300.0,0.0,1,0,0,1,Medio,Sin Saldo
CINCINNATI,OH,1994,41,0,0,0,0,375000.0,0.0,1,0,0,0,Alto,Sin Saldo
LIMA,IL,1993,14,0,0,0,0,186238.0,0.0,1,0,0,0,Medio,Sin Saldo
WILLIAMSBURG,IL,2004,3,0,2,1,0,59141.0,0.0,0,0,0,1,Bajo,Sin Saldo
LANCASTER,OH,1994,36,0,0,0,0,199000.0,0.0,1,0,1,1,Medio,Sin Saldo
MENTOR,RI,2005,1,0,1,1,0,107088.0,0.0,0,0,1,1,Medio,Sin Saldo
CAREY,OH,1992,1,0,0,0,0,38000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
COLUMBUS,OH,2008,0,0,1,1,0,38547.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
OREGON,OH,1995,21,0,0,0,1,35000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CRESTON,CO,2000,1,1,2,0,1,57000.0,0.0,1,1,0,0,Bajo,Sin Saldo
LOUISVILLE,OH,2000,4,1,1,0,0,347500.0,0.0,0,0,1,1,Alto,Sin Saldo
CHAGRIN FALLS,IL,2001,20,0,1,0,0,300000.0,0.0,1,0,1,0,Alto,Sin Saldo
AKRON,OH,2003,61,0,1,0,1,65000.0,0.0,1,0,0,0,Bajo,Sin Saldo
NORTH CANTON,OH,2003,1,0,1,0,0,127100.0,0.0,1,0,1,0,Medio,Sin Saldo
TOLEDO,RI,2005,28,0,1,1,0,30533.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
EAST LIVERPOOL,OH,2008,1,0,2,1,0,41127.0,0.0,1,0,0,1,Bajo,Sin Saldo
COLUMBUS,OH,1998,29,0,0,0,0,121000.0,0.0,1,0,1,0,Medio,Sin Saldo
CLEVELAND,OH,2007,3,1,1,1,0,50000.0,0.0,1,0,1,1,Bajo,Sin Saldo
COLUMBUS,IN,2002,30,0,1,0,0,185000.0,0.0,1,0,0,0,Medio,Sin Saldo
ASHTABULA,RI,2007,2,0,1,1,0,3000.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
HUBBARD,OH,2002,19,0,1,0,1,125000.0,0.0,1,0,0,0,Medio,Sin Saldo
CANTON,IL,1989,2,1,0,0,0,40000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
CANAL WINCHESTER,IL,1991,1,1,0,0,0,28000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
YOUNGSTOWN,IL,1995,1,0,0,0,1,50000.0,0.0,1,0,0,0,Bajo,Sin Saldo
NAVARRE,OH,2010,0,0,1,0,0,25000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
POWELL,CA,2003,6,1,1,0,0,154000.0,0.0,0,1,1,0,Medio,Sin Saldo
WEST CARROLLTON,OH,2004,2,0,2,1,0,42253.0,0.0,1,0,0,1,Bajo,Sin Saldo
AKRON,OH,1995,10,0,0,0,0,150000.0,0.0,1,0,0,0,Medio,Sin Saldo
COLUMBUS,OR,2010,37,0,1,0,0,50000.0,0.0,0,0,1,1,Bajo,Sin Saldo
MARYSVILLE,OH,2008,25,1,2,0,0,1665000.0,0.0,1,1,0,1,Alto,Sin Saldo
WESTLAKE,OH,1994,5,0,0,0,0,90000.0,0.0,1,0,0,0,Medio,Sin Saldo
POWELL,OH,2009,31,0,1,1,0,746975.0,0.0,0,0,0,1,Alto,Sin Saldo
POWELL,IL,2008,3,0,2,1,0,100645.0,0.0,0,0,0,1,Medio,Sin Saldo
NORTH RIDGEVILLE,OH,2000,10,0,1,1,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
WESTERVILLE,OH,1991,8,0,0,0,0,200000.0,0.0,0,0,0,0,Medio,Sin Saldo
FRANKLIN,OH,1996,3,1,0,0,0,300000.0,0.0,1,0,0,0,Alto,Sin Saldo
CANTON,OH,1986,8,1,0,0,0,59000.0,0.0,1,0,0,0,Bajo,Sin Saldo
CLEVELAND,IL,2001,9,0,1,0,0,150000.0,0.0,1,0,0,1,Medio,Sin Saldo
ELYRIA,OH,2006,14,0,1,0,0,87000.0,0.0,1,0,1,1,Bajo,Sin Saldo
KETTERING,OH,1992,7,0,0,0,0,250000.0,0.0,1,0,0,0,Alto,Sin Saldo
DAYTON,OH,1982,38,1,0,0,0,186000.0,0.0,1,0,0,0,Medio,Sin Saldo
NORWALK,OH,2007,3,0,2,0,0,90000.0,0.0,1,0,1,0,Medio,Sin Saldo
N. LIMA,OH,1999,1,1,0,0,0,997000.0,0.0,1,0,1,0,Alto,Sin Saldo
CINCINNATI,OH,1991,5,1,0,0,0,200000.0,0.0,1,0,0,0,Medio,Sin Saldo
GRANDVIEW HEIGHTS,OH,2004,7,1,1,0,0,165000.0,0.0,0,0,0,1,Medio,Sin Saldo
CLEVELAND,OH,1999,2,1,0,0,1,51000.0,0.0,1,0,0,0,Bajo,Sin Saldo
CLAYTON,OH,2002,2,1,2,1,0,29973.0,0.0,1,0,1,0,Muy bajo,Sin Saldo
WAUSEON,SD,1997,7,1,0,0,0,1150000.0,0.0,1,1,0,0,Alto,Sin Saldo
DUBLIN,OH,2010,80,0,1,1,0,47367.0,0.0,1,0,0,1,Bajo,Sin Saldo
COSHOCTON,IL,1994,50,0,0,0,0,730000.0,0.0,1,0,0,0,Alto,Sin Saldo
ATHENS,CA,2000,34,1,1,0,0,559000.0,0.0,1,1,1,1,Alto,Sin Saldo
EUCLID,OH,2004,10,1,1,0,0,114200.0,0.0,1,1,0,1,Medio,Sin Saldo
COLUMBUS,OH,2007,5,0,1,1,0,87469.0,0.0,0,0,0,1,Bajo,Sin Saldo
ENGLEWOOD,IL,1995,30,0,0,0,0,100000.0,0.0,1,0,0,0,Medio,Sin Saldo
COLUMBUS,SD,1998,9,0,0,0,0,250000.0,0.0,1,0,0,0,Alto,Sin Saldo
MENTOR,DE,2003,2,1,1,0,0,190000.0,0.0,1,0,1,1,Medio,Sin Saldo
ROCKY RIVER,OH,2003,1,1,1,1,0,20000.0,0.0,0,0,1,0,Muy bajo,Sin Saldo
NORTH CANTON,OH,2003,27,0,1,0,0,135000.0,0.0,1,0,0,1,Medio,Sin Saldo
MENTOR,OH,1985,18,0,0,0,0,63000.0,0.0,1,0,0,0,Bajo,Sin Saldo
STRONGSVILLE,OH,2005,0,1,1,0,0,155000.0,0.0,0,1,1,0,Medio,Sin Saldo
CLEVELAND,OH,1994,27,0,0,0,0,275000.0,0.0,1,0,0,0,Alto,Sin Saldo
COLUMBUS,OH,2014,1,0,1,0,0,24000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
DEFIANCE,OH,1998,16,1,0,0,1,100000.0,0.0,1,0,0,0,Medio,Sin Saldo
BATAVIA,OH,2007,4,1,2,0,0,297000.0,0.0,1,0,0,1,Alto,Sin Saldo
NORTH OLMSTED,OH,2005,2,0,1,1,0,29814.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
MOGADORE,RI,2012,21,0,1,1,0,269000.0,0.0,1,0,0,1,Alto,Sin Saldo
DAYTON,IL,1997,1,1,0,0,0,167614.0,0.0,1,0,0,0,Medio,Sin Saldo
WELLINGTON,VA,2007,1,0,2,1,0,38468.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
COLUMBUS,TN,2005,15,0,1,0,0,1800000.0,0.0,1,1,1,1,Alto,Sin Saldo
CARLISLE,OH,1997,32,0,0,0,0,460000.0,0.0,1,0,1,0,Alto,Sin Saldo
COLUMBUS,OH,2001,18,0,1,1,0,605444.0,0.0,1,0,0,1,Alto,Sin Saldo
ENGLEWOOD,OH,2006,10,0,2,0,0,50000.0,0.0,0,0,0,0,Bajo,Sin Saldo
WESTERVILLE,IL,2000,4,0,1,0,0,688700.0,0.0,1,0,0,1,Alto,Sin Saldo
BATAVIA,DE,2006,1,1,2,1,0,34202.0,0.0,0,0,1,1,Muy bajo,Sin Saldo
NEWARK,OH,2007,2,1,1,0,0,135000.0,0.0,1,0,1,0,Medio,Sin Saldo
BROADVIEW HEIGHTS,OH,1996,2,0,0,0,0,15000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
MENTOR,DE,2004,1,1,1,0,0,15000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
CINCINNATI,DE,2007,4,1,1,1,0,109960.0,0.0,0,0,1,1,Medio,Sin Saldo
POWELL,OH,2009,0,0,1,0,0,25000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
SPRINGBORO,DE,2007,2,0,2,0,0,50000.0,0.0,1,0,0,1,Bajo,Sin Saldo
WESTERVILLE,OH,1999,2,1,0,0,1,46250.0,0.0,1,1,0,0,Bajo,Sin Saldo
NORTHFIELD,VA,2003,1,0,1,0,0,25000.0,0.0,0,0,1,1,Muy bajo,Sin Saldo
CLEVELAND,OH,2009,5,1,1,1,0,37200.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
HAMILTON,TN,2011,20,0,1,0,0,1120000.0,0.0,1,1,0,1,Alto,Sin Saldo
DAYTON,OH,1999,44,0,0,0,0,253000.0,0.0,1,0,1,1,Alto,Sin Saldo
COLUMBUS,OH,1997,10,0,0,0,0,70000.0,0.0,1,0,0,0,Bajo,Sin Saldo
SHEFFIELD,OH,2007,1,1,1,0,0,90000.0,0.0,1,0,1,0,Medio,Sin Saldo
PROCTORVILLE,DE,2007,2,0,2,0,0,54000.0,0.0,1,0,0,1,Bajo,Sin Saldo
CLEVELAND,OH,2007,2,0,1,1,0,36566.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
TOLEDO,RI,2005,1,0,1,1,0,5000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
SOLON,RI,2005,21,1,1,1,0,50977.0,0.0,1,1,0,1,Bajo,Sin Saldo
FOSTORIA,OH,2006,2,0,2,1,0,65000.0,0.0,1,0,1,0,Bajo,Sin Saldo
CENTERVILLE,IL,2011,1,0,1,1,0,63285.0,0.0,0,0,0,0,Bajo,Sin Saldo
CLEVELAND,OH,2001,2,1,1,0,0,25000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
